Module                  Size  Used by
kfifo_buf              12288  1 industrialio_triggered_buffer
spi_intel_pci          12288  0
i2c_smbus              16384  1 i2c_i801
mei                   172032  5 mei_hdcp,mei_pxp,mei_me
mc                     81920  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
hid_sensor_iio_common    24576  7 hid_sensor_gyro_3d,hid_sensor_trigger,hid_sensor_custom_intel_hinge,hid_sensor_incl_3d,hid_sensor_accel_3d,hid_sensor_magn_3d,hid_sensor_rotation
processor_thermal_rapl    16384  1 processor_thermal_device
spi_intel              32768  1 spi_intel_pci
intel_rapl_common      53248  2 intel_rapl_msr,processor_thermal_rapl
cec                    94208  3 drm_display_helper,xe,i915
industrialio          135168  11 industrialio_triggered_buffer,hid_sensor_gyro_3d,hid_sensor_trigger,hid_sensor_custom_intel_hinge,hid_sensor_incl_3d,kfifo_buf,hid_sensor_accel_3d,hid_sensor_magn_3d,hid_sensor_rotation
processor_thermal_wt_req    12288  1 processor_thermal_device
rc_core                73728  1 cec
processor_thermal_power_floor    12288  1 processor_thermal_device
i2c_algo_bit           16384  2 xe,i915
processor_thermal_mbox    12288  4 processor_thermal_power_floor,processor_thermal_wt_req,processor_thermal_rfim,processor_thermal_wt_hint
intel_soc_dts_iosf     16384  1 processor_thermal_device_pci_legacy
int3403_thermal        16384  0
soc_button_array       20480  0
int340x_thermal_zone    16384  2 int3403_thermal,processor_thermal_device
intel_pmc_core        118784  0
intel_vsec             20480  1 intel_pmc_core
intel_hid              28672  0
int3400_thermal        24576  0
pmt_telemetry          16384  1 intel_pmc_core
acpi_thermal_rel       20480  1 int3400_thermal
pmt_class              16384  1 pmt_telemetry
sparse_keymap          12288  2 hp_wmi,intel_hid
acpi_pad              184320  0
input_leds             12288  0
serio_raw              20480  0
joydev                 32768  0
mac_hid                12288  0
sch_fq_codel           24576  1
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     28672  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
nfnetlink              20480  5 nft_compat,nf_tables,ip_set
dmi_sysfs              24576  0
ip_tables              32768  0
x_tables               65536  6 xt_conntrack,nft_compat,xt_addrtype,xt_set,ip_tables,xt_MASQUERADE
autofs4                57344  2
usbhid                 77824  0
hid_sensor_custom      28672  0
hid_sensor_hub         28672  9 hid_sensor_gyro_3d,hid_sensor_trigger,hid_sensor_iio_common,hid_sensor_custom_intel_hinge,hid_sensor_incl_3d,hid_sensor_accel_3d,hid_sensor_magn_3d,hid_sensor_rotation,hid_sensor_custom
intel_ishtp_hid        32768  0
hid_multitouch         36864  0
nvme                   61440  2
nvme_core             221184  3 nvme
nvme_auth              28672  1 nvme_core
hid_generic            12288  0
video                  77824  2 xe,i915
crc32_pclmul           12288  0
ucsi_acpi              12288  0
typec_ucsi             65536  1 ucsi_acpi
i2c_hid_acpi           12288  0
intel_lpss_pci         28672  0
xhci_pci               24576  0
intel_lpss             12288  1 intel_lpss_pci
intel_ish_ipc          32768  0
vmd                    24576  0
xhci_pci_renesas       20480  1 xhci_pci
idma64                 20480  0
typec                 110592  1 typec_ucsi
i2c_hid                40960  1 i2c_hid_acpi
intel_ishtp            73728  2 intel_ishtp_hid,intel_ish_ipc
hid                   262144  6 i2c_hid,usbhid,hid_multitouch,hid_sensor_hub,intel_ishtp_hid,hid_generic
wmi                    28672  3 hp_wmi,video,wmi_bmof
pinctrl_tigerlake      28672  2
